第二次评审标准分极差,复议后极差,专家一标准分,专家二标准分,专家三标准分,二阶段成绩
40.82,16.31,58.06,55.57,60.64,174.27
17.54,,56.46,59.77,53.76,169.99
21.37,6.64,64.53,59.86,66.46,190.85
12.95,,50.68,61,72.99,184.67
17.03,,78.23,65.09,65.1,208.42
2.64,,62.6,60.15,61.38,184.13
6.58,,64.84,56.73,68.91,190.48
23.45,13.00,67.24,53.82,66.39,187.45
18.80,,54.38,56.78,53.3,164.46
13.05,,67.12,60.2,58.19,185.51
1.89,,57.99,64.42,50.86,173.27
12.77,,59.64,65,60.39,185.03
17.45,,70.36,60.07,69.66,200.09
8.52,,66.99,57.02,55.51,179.52
28.29,15.53,68.68,56.89,57.76,183.33
14.56,,63.48,55.18,61.12,179.78
19.81,,62.79,66.93,65.45,195.17
13.87,,63.48,65.65,66.8,195.93
14.79,,68.42,63.06,61.8,193.28
9.40,,62.19,64.6,66.91,193.7
16.39,,48.08,61.15,61.85,171.08
20.85,8.72,62.76,57.7,54.11,174.57
17.04,,75.91,68.49,60.54,204.94
5.42,,70.11,62.43,74.54,207.08
19.81,,65.9,56.98,68.84,191.72
17.10,,65.87,56.66,63.49,186.02
17.19,,61.21,64.75,65.26,191.22
21.74,12.71,65.42,60.2,58.19,183.81
4.29,,56.46,67,64.29,187.75
21.78,19.45,60.36,57.71,63.07,181.14
21.42,10.68,73.5,74.5,67.04,215.04
25.54,0.90,62.92,62.01,69.47,194.4
21.50,7.27,65.42,60.2,61.95,187.57
6.19,,57.99,64.25,66.56,188.8
17.43,,64.44,55.37,62.18,181.99
46.68,16.00,53.92,62.88,61.82,178.62
24.12,10.41,59.8,60.5,69.9,190.2
14.71,,57.47,63.83,63.75,185.05
22.32,16.52,69.66,64.3,60.23,194.19
20.74,14.93,65.87,69.07,67.16,202.1
4.98,,65.82,72.36,61.73,199.91
15.88,,60.96,64.7,69.39,195.05
19.51,,66.63,68.6,66.91,202.14
18.37,,63.03,74.57,46.87,184.47
19.07,,62.84,66.28,69.34,198.46
9.49,,62.04,64.64,56.69,183.37
10.28,,59.19,54.04,56.88,170.11
20.52,13.72,72.36,65.71,62.09,200.16
19.28,,55.38,57.8,53.72,166.9
1.63,,61.73,62.32,55.62,179.67
7.07,,60.64,56.44,54.48,171.56
16.58,,58.15,47.2,66.76,172.11
43.20,14.90,69.95,65.49,65.18,200.62
23.88,11.29,62.05,68.79,67.33,198.17
18.97,,61.88,78.44,55.89,196.21
22.75,14.80,74.14,65.06,58.79,197.99
14.33,,69.14,75.39,66.63,211.16
25.71,9.01,58.26,56.25,62.25,176.76
20.82,8.76,55.56,61.43,69.5,186.49
5.91,,67.93,55.33,71.38,194.64
24.13,8.13,62.41,66.47,69.97,198.85
6.65,,69.48,68.16,58.19,195.83
12.00,,67.86,68.08,65.71,201.65
4.95,,64.76,61.98,60.88,187.62
6.74,,66.84,66.59,58.18,191.61
15.10,,70.11,61.88,59.05,191.04
21.75,4.00,59.54,56.58,55.96,172.08
30.59,17.00,58.5,61.06,67.28,186.84
23.75,16.34,54.9,58.94,62.83,176.67
11.71,,54.15,70.11,56.2,180.46
11.52,,63.35,76.13,69.72,209.2
3.00,,53.77,55.37,62.03,171.17
25.62,14.00,65.5,46.69,64.95,177.14
8.23,,60.48,54.54,57.07,172.09
11.01,,65.61,72.14,72.07,209.82
22.41,5.68,53.25,68.95,60.81,183.01
10.55,,56.46,71.05,64.29,191.8
12.78,,61.5,65.59,67.1,194.19
26.80,6.80,58.81,67.23,64.11,190.15
21.09,13.28,64.7,60.35,54.22,179.27
15.28,,69.8,75.42,71.96,217.18
23.41,1.47,53.86,66.91,59.71,180.48
8.15,,66.47,58.9,55.03,180.4
13.28,,60.07,61.67,62.82,184.56
19.37,,54.03,51.51,67.39,172.93
6.44,,61.75,55.9,67.3,184.95
13.38,,53.16,69.67,55.03,177.86
10.84,,69.07,68.29,72.01,209.37
8.47,,60.89,59.6,61.96,182.45
26.87,12.90,60.62,58.09,60.1,178.81
11.82,,66.47,48.12,62,176.59
23.72,16.82,56.96,61.52,70.37,188.85
17.69,,64.32,58.4,61.08,183.8
1.20,,63.9,53.07,54.93,171.9
21.78,5.26,53.53,64.57,62.7,180.8
3.60,,59.68,54.52,64.26,178.46
16.95,,71.96,68.85,68.03,208.84
12.75,,63.07,71.66,63.14,197.87
19.62,,57.99,61.86,57.41,177.26
23.26,6.72,57.66,61.2,61.57,180.43
11.59,,51.78,56.02,66.34,174.14
21.90,12.08,69.07,61.38,65.71,196.16
12.27,,58.4,66.79,70.46,195.65
25.27,13.48,65.23,60.44,57.04,182.71
9.33,,71.53,66.53,61.07,199.13
13.42,,56.59,62.04,61.11,179.74
2.12,,59.3,60.07,73.41,192.78
17.52,,73.69,71.98,60.02,205.69
13.24,,66.28,64.12,59.42,189.82
13.97,,58.2,58.85,65.8,182.85
6.43,,72.3,68.6,63.18,204.08
13.25,,63.7,66.6,79.31,209.61
25.53,13.29,76.38,72.72,57.77,206.87
22.96,15.67,55.51,56.07,62.04,173.62
19.35,,57.53,66.5,59.76,183.79
14.02,,64.37,66.46,69.8,200.63
10.46,,55.92,63.86,62.4,182.18
8.38,,61.08,55.78,61.54,178.4
14.41,,58.86,62.32,64.24,185.42
8.03,,66.13,51.79,65.56,183.48
15.20,,64.19,69.76,55.4,189.35
4.00,,64.78,57.13,70.9,192.81
23.19,0.26,61.26,70.12,70.1,201.48
16.33,,67.89,63.8,63.07,194.76
19.11,,57.35,57.73,62.82,177.9
10.96,,53.86,67.67,66.17,187.7
8.89,,66.7,75.87,68.17,210.74
23.28,5.00,67.33,68.83,65.84,202
10.83,,54.09,52.68,59.33,166.1
14.81,,62.76,63.06,57.7,183.52
14.01,,61.14,60.9,59.7,181.74
16.05,,69.79,53.4,58.06,181.25
10.51,,67.23,76.62,73.98,217.83
12.91,,56.82,56.92,61.25,174.99
28.49,10.15,48.86,65.5,68.6,182.96
4.64,,58.85,57.76,64.29,180.9
11.11,,61.74,57.58,59.81,179.13
13.49,,65.88,57.67,59.51,183.06
12.81,,63.38,64.12,64.8,192.3
6.06,,70.88,60.1,65.8,196.78
4.20,,56.69,67.93,50.72,175.34
14.17,,58.74,59.26,53.9,171.9
13.22,,56.19,66.73,69.8,192.72
4.71,,67.56,57.54,67.24,192.34
17.66,,63.91,57.82,55.98,177.71
19.61,,64.35,65.11,65.46,194.92
2.13,,58.59,72.28,61.5,192.37
20.55,7.78,68.76,60.7,71.54,201
13.34,,58.86,70.62,63.64,193.12
28.68,18.68,56.32,54.66,63.57,174.55
9.77,,60.96,59.9,58.19,179.05
7.67,,64.63,57.98,56.66,179.27
3.75,,56.85,56.18,58.88,171.91
16.27,,73.87,62.99,64.72,201.58
15.74,,62.91,69.8,71.96,204.67
20.26,17.22,70.11,66.52,60.75,197.38
2.18,,58.59,59.11,60.68,178.38
7.55,,66.64,58.22,56.62,181.48
11.87,,64.79,58.27,62.26,185.32
12.51,,54.65,64.85,68.19,187.69
6.14,,58.91,59.91,53.04,171.86
12.39,,54.54,61.85,66.23,182.62
17.44,,57.17,66.77,62.55,186.49
13.52,,66.86,60.66,67,194.52
12.60,,59.55,66.46,64.61,190.62
6.14,,58.86,59.55,65.45,183.86
17.13,,58.85,65.82,54.64,179.31
6.58,,62.97,62.43,62.92,188.32
11.50,,50.95,74.01,61.78,186.74
9.06,,60.26,59.34,56.63,176.23
9.77,,55.77,70.32,63.54,189.63
24.03,12.00,46.18,66.14,65.62,177.94
18.87,,62.36,50.15,56.64,169.15
28.74,17.32,57.57,58.27,62.26,178.1
13.65,,70.22,61.84,57.49,189.55
19.57,,63.1,54.93,53.06,171.09
9.08,,61.54,59.7,69.64,190.88
4.55,,64.95,59.45,60.21,184.61
8.81,,63.12,59.83,64.35,187.3
5.17,,71.62,63.38,69.94,204.94
23.16,14.05,74.2,54.45,63.32,191.97
18.55,,60.58,67.31,50.89,178.78
16.65,,49.39,59.06,58.37,166.82
26.09,4.48,63.98,66.79,71.13,201.9
5.67,,57.4,69.28,63.8,190.48
4.10,,44.49,62.94,61.42,168.85
15.29,,56.7,63.56,56.49,176.75
15.25,,60.38,61.08,62.25,183.71
26.45,9.42,56.45,55.31,66.7,178.46
2.04,,67.58,66.5,60.28,194.36
16.83,,58.37,58.9,63.69,180.96
11.85,,70.45,67.73,64.47,202.65
5.86,,67.93,64.63,56.66,189.22
4.72,,63.03,57.97,63.6,184.6
1.11,,68.46,67.94,55.4,191.8
15.41,,64.7,57.01,65.22,186.93
18.77,,56.46,56.42,72.29,185.17
20.84,14.84,61.1,52.5,62.05,175.65
11.50,,69.07,58.96,59.9,187.93
13.60,,63.43,64.18,61.94,189.55
18.35,,64.53,62.85,63.82,191.2
17.20,,66.46,52.24,58.3,177
15.72,,64.25,70.91,59.64,194.8
11.81,,69.33,65.69,58.94,193.96
22.50,6.24,62.56,57.81,66.1,186.47
14.47,,68.99,50.86,58.96,178.81
17.60,,52.68,61.88,59.64,174.2
6.22,,61.55,69.54,67.31,198.4
9.65,,57.6,59.44,51.49,168.53
9.50,,65.75,68.87,65.65,200.27
13.09,,72.8,61,66.09,199.89
21.93,15.83,54.38,50.85,59.67,164.9
20.65,13.98,67.24,57.63,50.02,174.89
23.98,11.59,60.75,61.96,66.58,189.29
14.68,,61.19,56.31,59.02,176.52
18.01,,70.37,57.19,61.62,189.18
8.38,,70.05,64.92,66.72,201.69
9.85,,60.9,70.84,70.02,201.76
1.97,,66.94,58.24,58.23,183.41
15.24,,65.5,63.28,71.1,199.88
11.24,,61,55.53,50.45,166.98
38.03,19.13,56.39,72.93,58.86,188.18
9.17,,58.54,59.7,67.23,185.47
10.36,,58.96,60.1,66.91,185.97
15.40,,60.79,54.09,66.75,181.63
4.47,,56.45,67.92,58.84,183.21
10.44,,56.3,57.46,68.36,182.12
14.00,,59.47,69.2,61.34,190.01
14.87,,58.15,63.95,59.96,182.06
11.48,,58.5,65.74,53.29,177.53
35.27,3.00,68.82,65.67,68.83,203.32
23.55,13.55,63.41,55.93,63.99,183.33
24.10,14.10,65.56,55.35,58.65,179.56
3.46,,61.15,64.35,63.35,188.85
8.57,,68.7,64.44,58.77,191.91
22.39,8.28,72.3,55.79,65.67,193.76
3.25,,62.41,56.52,58.88,177.81
15.95,,59.05,61.72,64.5,185.27
21.57,11.57,57.18,60.14,57.75,175.07
10.72,,69.54,53.74,61.54,184.82
17.67,,65.38,68.81,57.65,191.84
21.69,12.83,60.3,54.18,72.64,187.12
22.74,8.64,51.39,70.01,45.4,166.8
15.82,,75.23,63.8,60.55,199.58
7.74,,57.48,64.99,58.23,180.7
15.77,,59.19,56.71,66.05,181.95
22.05,17.16,70.2,61.68,51.03,182.91
15.05,,57.66,60.27,64.4,182.33
11.33,,67.71,54,61.23,182.94
21.33,4.84,60.9,68.05,64.7,193.65
23.13,7.93,60.52,49.64,72.99,183.15
11.23,,70.67,55.33,60.93,186.93
9.45,,59.41,68.47,59.01,186.89
15.95,,68.99,54.59,51.61,175.19
14.47,,59.64,55.51,59.05,174.2
21.33,7.81,59.7,64.71,65.01,189.42
11.03,,57.16,60.81,67.1,185.07
4.62,,57.48,59.12,56.06,172.66
7.23,,66.18,64.73,61.53,192.44
14.10,,68.13,64.7,66.69,199.52
21.34,8.20,62.73,63.19,53.44,179.36
10.05,,55.11,67.47,66.76,189.34
14.81,,70.14,57.2,67.08,194.42
3.59,,69.04,62.64,61.31,192.99
12.73,,67.81,50.67,68.44,186.92
2.23,,68.57,47.38,62.28,178.23
17.21,,63.36,52.63,61.68,177.67
13.77,,57.58,53.63,60.24,171.45
22.41,8.41,57.68,60.94,70.64,189.26
2.14,,57.7,61.85,66.16,185.71
14.79,,57.66,50.98,57.8,166.44
16.35,,58.97,63.83,66.8,189.6
18.29,,63.99,64.1,65.42,193.51
11.09,,57.47,57.32,66.6,181.39
16.92,,59.01,63.69,63.35,186.05
14.07,,58.74,57.09,53.97,169.8
21.61,4.22,57.26,72.19,55.4,184.85
20.20,5.34,73.45,67.99,65.15,206.59
17.43,,67.87,57.26,64.46,189.59
21.62,6.38,49.38,62.37,50.4,162.15
14.29,,65.34,69.96,62.77,198.07
13.83,,63.43,64.18,68.31,195.92
21.54,14.48,52.56,68.47,60.1,181.13
14.27,,65.87,60.76,70.94,197.57
15.33,,68.7,69.11,65.3,203.11
6.98,,51.25,64.7,60,175.95
29.28,13.71,57.46,70.05,64.24,191.75
8.44,,68.94,59.31,69.53,197.78
18.27,,66.36,62.84,65.09,194.29
22.25,8.08,74.75,54.54,53.77,183.06
4.00,,60.93,66.45,58.37,185.75
7.06,,61.17,58.38,62.04,181.59
10.03,,56.4,53.68,65.43,175.51
11.06,,69.32,59.06,58.37,186.75
17.51,,69.18,63.86,56.84,189.88
20.47,11.21,74.57,64.33,54.15,193.05
0.56,,62.31,79.8,66.45,208.56
9.69,,68.44,65.12,66.05,199.61
3.52,,50.51,72.71,58.3,181.52
14.59,,52.25,53.92,66.23,172.4
11.45,,61.04,57.3,67.59,185.93
25.26,10.00,64.9,59.61,55.47,179.98
29.19,13.71,55.08,62.69,64.24,182.01
17.99,,71.36,49.83,62.06,183.25
35.43,8.00,70.84,63.24,51.21,185.29
19.19,,56.46,54.4,50.52,161.38
14.08,,67.42,65.3,64.33,197.05
2.32,,68.67,54.54,53.77,176.98
30.93,10.71,60.24,74.67,57.57,192.48
2.11,,55.26,61.37,63.46,180.09
7.70,,63.91,57.02,64.66,185.59
17.12,,54.44,67.63,56.46,178.53
15.75,,59.6,60.1,59.85,179.55
7.01,,65.38,68.88,53.48,187.74
7.59,,68.37,78.37,75.4,222.14
22.24,18.43,54.17,52.78,56.89,163.84
8.03,,64.28,64.4,59.17,187.85
9.42,,53.14,69.95,68.16,191.25
13.24,,63.57,55.52,58.03,177.12
21.02,8.43,63.94,58.04,67.05,189.03
16.90,,65.34,60.4,55.7,181.44
7.86,,64.11,54.88,61.51,180.5
12.37,,68.47,60.67,58.18,187.32
6.28,,58.75,56.94,62.62,178.31
8.51,,65.21,65.18,58.45,188.84
5.15,,63.84,64.35,65.17,193.36
12.49,,58.13,61.88,61.43,181.44
18.19,,58.03,66.3,48.77,173.1
2.80,,62.04,64.46,53.76,180.26
16.27,,69.58,62.73,47.7,180.01
25.58,19.09,65.5,73.26,57.84,196.6
16.30,,61.01,68.79,60.27,190.07
6.54,,56.94,65.37,63.4,185.71
19.75,,51.37,65.57,70.01,186.95
10.85,,62.79,63.24,59.42,185.45
14.23,,64.61,54.83,57.2,176.64
25.09,10.00,58.33,51.3,58.59,168.22
10.28,,70.08,73.05,71.09,214.22
2.51,,67.58,62.13,56.34,186.05
3.09,,59.08,58.95,62.95,180.98
5.90,,63.57,66.28,51.88,181.73
11.38,,70.12,62.62,63.36,196.1
18.91,,56.83,68.54,62.73,188.1
21.33,10.34,72.86,59.86,59.02,191.74
13.73,,65.89,69.59,53.83,189.31
15.40,,54.43,62.69,55.54,172.66
17.64,,55.55,50.76,61.87,168.18
17.84,,65.42,54.1,60.27,179.79
2.52,,56.83,55.49,56.24,168.56
17.62,,62.82,59.9,57.66,180.38
15.83,,60.1,52.3,72.72,185.12
19.67,,56.72,58.36,66.8,181.88
9.84,,67.03,64.02,58.97,190.02
7.84,,62.28,57.67,61.55,181.5
14.80,,57.78,64.3,65.67,187.75
6.55,,62.52,61.31,62.42,186.25
9.91,,61.13,57.97,67.03,186.13
2.64,,64.87,56.74,53.03,174.64
9.60,,66.18,62.82,58.78,187.78
15.72,,56.33,54.58,52.52,163.43
2.30,,60.45,58.7,72.05,191.2
16.22,,58.97,60.18,68.14,187.29
18.29,,58.23,62.48,58.06,178.77
19.77,,59.11,67.57,66.23,192.91
22.71,9.00,61.15,61.85,72.75,195.75
6.18,,70.11,71.98,62.92,205.01
4.19,,62.13,72.18,61.11,195.42
1.34,,58.34,60.62,53.94,172.9
9.07,,56.93,64.78,56.06,177.77
15.22,,59.88,60.23,57.55,177.66
12.33,,64.02,61.8,62.69,188.51
16.27,,63.33,63.78,59.64,186.75
16.31,,58.48,67.58,62.95,189.01
1.80,,60.93,65.78,58.37,185.08
12.13,,59.55,66.89,67.89,194.33
8.34,,60.47,65.61,62.06,188.14
15.52,,71.06,70.22,60.29,201.57
11.40,,61.46,73.51,81.67,216.64
9.62,,61.48,55.3,63,179.78
10.37,,53.82,54.72,59.11,167.65
19.25,,71.96,57.7,73.69,203.35
14.24,,69.07,47.77,63.89,180.73
7.61,,48.27,61.28,64.57,174.12
9.67,,57.17,57.46,58.94,173.57
10.44,,67.32,61.54,51.11,179.97
21.10,11.67,53.22,50.89,58.45,162.56
15.15,,53.96,53.44,61.46,168.86
9.54,,70.11,60.98,59.4,190.49
8.08,,59.69,61.12,50.87,171.68
2.82,,63.01,65.11,56.8,184.92
9.23,,56.02,55.76,72.49,184.27
17.98,,67.31,69.11,67.3,203.72
14.76,,59.2,52.99,71.58,183.77
4.72,,57.65,64.66,57.95,180.26
2.61,,61.93,59.51,57.25,178.69
8.71,,63.38,56.65,63.37,183.4
20.97,2.06,59.11,50.5,59.25,168.86
25.06,0.67,67.4,52.67,54.5,174.57
13.20,,57.08,57.5,62.83,177.41
19.60,,57.26,59.2,66.02,182.48
14.98,,51.57,63.83,62.18,177.58
7.87,,65.21,65.73,57.85,188.79
3.75,,58.75,52.62,59.52,170.89
15.64,,59.39,71.98,71.63,203
22.55,3.15,71.06,53.92,56.35,181.33
18.77,,63.91,65.76,54.38,184.05
12.00,,61.13,66.25,47.32,174.7
27.66,5.58,66.85,58.2,47.86,172.91
10.01,,54.03,59.24,66.09,179.36
18.92,,51.61,58.15,57.39,167.15
9.85,,53.98,61.38,63.6,178.96
25.05,14.74,52.56,51.57,58.89,163.02
21.28,14.03,58.4,63.23,66.75,188.38
12.50,,64.5,69.28,57.57,191.35
9.37,,69.54,58.97,68.77,197.28
11.50,,60.2,63.45,59.68,183.33
12.80,,69.55,55.52,66.72,191.79
0.79,,64.29,61.38,65.19,190.86
11.42,,67.4,68.91,58.1,194.41
8.30,,59.68,60.48,60.99,181.15
13.42,,64.25,61.77,65.71,191.73
9.66,,70.65,56.38,61.33,188.36
17.69,,72.71,57,60.74,190.45
5.43,,68.05,63.2,59.13,190.38
9.97,,61.73,66.2,77.04,204.97
10.64,,49.88,66.5,59.58,175.96
30.09,13.63,67.65,63.34,55.06,186.05
7.86,,67.62,60.85,54.72,183.19
7.31,,62.41,55.93,57.02,175.36
10.79,,62.89,63.77,69.79,196.45
17.42,,54.19,62.17,66.11,182.47
11.39,,63.2,56.45,57.27,176.92
16.42,,53.33,53.81,70.14,177.28
24.87,3.91,66.4,60.61,54.66,181.67
22.59,14.53,58.5,54.54,65.36,178.4
12.68,,65.5,76.22,67.57,209.29
15.63,,62.13,65.09,59.78,187
18.32,,58.19,60.02,58.9,177.11
29.16,7.69,61.14,66.65,59.24,187.03
8.60,,59.3,63.87,67.09,190.26
5.03,,57.27,63.24,56.05,176.56
9.00,,62.69,60.36,65.42,188.47
7.75,,61.01,56.71,51.49,169.21
12.10,,59.81,60.04,59.51,179.36
6.98,,54.93,62.8,64.24,181.97
5.97,,54.59,56.21,51.03,161.83
28.84,9.98,67.01,58.1,60.7,185.81
8.71,,60.41,62.05,58.07,180.53
20.60,1.79,66.99,64.3,71.23,202.52
7.91,,67.12,56.58,68.27,191.97
9.73,,59.41,50.05,60.66,170.12
10.20,,57.09,59.11,58.06,174.26
11.59,,58.34,58.21,63.75,180.3
3.26,,56.62,53.1,60.54,170.26
14.80,,59.38,59.7,57.27,176.35
14.41,,56.68,61.12,66.95,184.75
6.26,,57.48,67.92,59.05,184.45
8.19,,67.44,61.06,66.79,195.29
15.40,,64.84,63.06,62.95,190.85
8.39,,56.36,68.04,59.71,184.11
24.59,13.75,55.42,61.01,63.55,179.98
16.39,,60.62,64.87,60.21,185.7
19.16,,58.2,68.47,58.17,184.84
18.46,,65.19,54.36,60.65,180.2
7.69,,48.04,69.07,67.61,184.72
9.86,,56.45,54.67,56.49,167.61
5.40,,63.49,66.87,65.21,195.57
15.60,,73.69,58.33,77.44,209.46
25.41,2.00,54.07,57.02,68.1,179.19
16.90,,52.17,71.3,51.63,175.1
20.20,18.11,72.23,59.1,65.08,196.41
28.77,14.60,66.56,65.56,67.39,199.51
9.51,,67.75,60.42,60.89,189.06
10.06,,59.38,58.19,68.11,185.68
8.83,,59.01,61.37,66.92,187.3
7.62,,66.22,61.08,49.5,176.8
