最终成绩,第二次评审标准分极差,一阶段极差,专家一标准分,专家二标准分,专家三标准分,专家四标准分,专家五标准分,一阶段成绩
253.73,4.93,10.21,68.72,61.88,63.75,64.98,58.51,65.61
253.47,1.08,9.46,60.89,69.96,65.13,65.94,70.35,68.346
253.34,17.68,14.37,65.96,56.15,68.45,70.52,60.98,67.286
253.29,15.18,9.37,59.51,63.13,59.76,53.76,62.12,61.53
252.53,19.38,22.34,52.97,74.29,55.66,67.85,51.95,65.012
251.88,8.03,24.91,66.63,47.62,63.54,72.53,59.33,66.912
251.75,2.73,14.67,65.8,69.73,68.69,63.9,55.06,67.57
251.47,18.83,8.17,62.53,57.26,61.28,65.43,58.33,62.6
251.11,33.77,11.26,58.47,69.73,62.7,67.68,61.79,66.326
250.93,19.73,13.57,56.9,68.91,63.86,57.23,55.34,63.162
250.87,7.23,10.99,64.7,65.02,72.69,63.91,61.7,67.802
250.65,17.64,6.21,62.07,62.56,64.4,63.87,58.19,63.46
250.55,10.20,24.72,62.63,82.35,57.63,60.54,67.8,71.134
250.53,20.71,17.76,60.8,56.8,63.57,65.98,74.56,67.894
250.45,11.04,29.30,73.04,61.46,75.1,68.88,45.8,70.716
250.07,21.91,11.48,62.29,68.65,57.39,65.92,68.87,66.92
250.06,17.46,20.89,66.36,58.5,49.18,65.73,70.07,66.146
250.01,11.76,15.98,71.5,55.52,69.86,71.5,61.1,69.092
249.93,21.81,16.25,59.33,57.67,61.55,58.63,73.92,65.47
249.83,16.73,7.63,63.03,70.66,67.2,66.92,63.93,67.874
249.75,1.32,13.99,70.9,65.78,63.27,77.26,63.57,70.954
249.73,31.97,9.21,63.27,59.58,68.79,64.24,67.88,66.594
249.51,12.38,8.64,63.5,60.49,60.63,69.13,62.35,64.948
249.45,17.14,5.64,60.36,59.58,63.07,57.49,57.43,60.714
249.35,11.04,18.53,70.18,66.86,64.21,51.65,57.77,65.84
249.12,6.95,21.96,52.93,61.17,74.89,57.36,62.27,66.116
248.74,29.16,5.15,61.46,65.74,60.59,61.8,60.97,63.142
248.71,20.96,26.66,52.04,69.73,43.07,60.54,67.25,63.858
248.17,37.59,12.91,64.72,76.56,65.79,65.55,63.65,69.836
247.91,11.51,23.16,64.72,73.52,66.73,50.36,51.62,66.022
247.79,36.18,9.43,63.6,55.53,54.54,59.32,63.97,61.278
247.32,6.36,6.47,65.32,69.97,67.38,63.5,65.03,67.534
246.81,9.35,8.25,64.87,63.17,59.2,56.62,57.71,61.964
246.56,4.04,14.19,62.84,58.8,63.57,72.99,64.91,67.46
246.34,11.03,11.15,57.97,54.93,66.05,54.9,65.67,62.134
246.3,10.14,4.88,63.4,66.56,66.43,64.26,61.68,65.442
246.01,15.69,20.00,64.32,49.64,63.51,55.85,69.64,64.592
245.63,13.87,14.95,62.21,69.22,75.05,60.1,61,68.506
245.58,5.76,16.54,54.66,66.83,71.2,68.79,66.42,68.888
245.57,22.01,8.38,62.79,55.86,61.67,64.24,56.94,61.976
245.52,20.71,6.77,55.34,59.31,62.11,61.37,57.23,60.426
245.43,11.40,14.48,72.23,66.53,66.79,81.01,73.09,74.826
245.18,7.03,12.85,58.18,54.14,56.38,66.05,66.99,62.918
244.79,9.10,14.74,69.07,69.99,55.25,57.81,62.74,65.92
244.64,20.74,12.41,64.92,62.34,63.81,60.79,52.51,63.356
244.45,22.23,17.38,62.76,64.04,61.03,74.3,56.92,67.286
244.34,11.42,15.39,66.95,59.54,55.41,59.68,70.8,65.554
244.21,22.67,12.87,62.86,69.08,63.07,69.35,56.48,66.742
244.19,8.20,26.69,50.67,54.64,77.36,69.02,60.12,67.7
244.18,14.14,8.92,63.39,66.91,59.71,57.99,60.05,63.394
243.74,22.01,28.51,76.78,63.44,55.64,48.27,66.63,67.854
243.3,1.98,10.70,58.34,69.04,59.31,59.98,59.08,63.29
243.05,16.55,24.13,71.75,59.3,47.62,67.24,56.49,65.306
243.05,22.17,6.08,56.54,60.36,62.62,57.09,59.26,60.39
243.03,20.19,22.02,56.24,78.26,63.55,59.33,60.15,67.91
243,16.30,13.07,64,74.5,61.43,68.44,70.71,70.43
242.97,15.44,21.41,57.47,55.27,47.38,67.22,68.79,63.508
242.73,14.07,12.83,67.07,62.84,62.94,54.24,66.24,65.232
242.72,19.86,12.94,59.48,65.99,63.87,60.21,72.42,66.982
242.65,3.18,11.44,62.5,64.68,61.98,53.24,60.88,62.944
242.43,14.66,13.12,56.89,70.01,67.23,66.93,65.8,67.996
242.29,10.30,7.63,66.71,59.08,61.9,61.44,65.07,64.366
242.22,15.38,11.67,70.12,60,58.45,64.5,60.23,64.994
242.19,9.22,19.75,66.93,54.59,49.23,60.52,68.98,64
242.19,7.56,11.84,58.11,69.95,63.8,58.47,65.62,65.558
242.08,11.83,13.39,68.57,63.05,62.04,69.07,55.68,66.36
241.97,14.01,14.35,63.94,59.07,73.42,60.43,59.67,66.176
241.88,9.81,21.74,53.58,74.5,72.1,75.32,71.14,73.676
241.83,20.17,11.39,68.57,60.69,66.14,65.72,57.18,65.938
241.31,19.73,18.40,68.47,58.06,64.49,50.07,56.96,63.29
241.24,25.12,8.93,64.29,58.03,61.07,59.55,66.96,63.766
240.81,17.73,6.69,63.59,61.66,68.35,64.82,65.88,66.198
240.8,5.66,24.87,60.64,76.43,57.26,64.76,51.56,67.104
240.58,10.90,6.93,66.8,66.86,61.99,59.93,66.13,65.728
240.57,6.70,17.79,62.64,56.82,73.51,55.72,67.43,66.782
240.48,31.73,12.98,60.19,64.49,52.52,65.5,61.37,63.41
240.33,8.23,11.43,60.89,52.12,58.84,60.6,63.55,61.486
240.25,3.25,8.75,60.78,62.59,62.42,60.4,53.84,61.756
240.22,6.46,6.62,64.76,60.02,58.14,61.33,64.18,63.01
240.1,5.21,16.17,61.33,68.34,65.72,72.53,77.5,72.318
240.05,12.36,13.64,66.91,61.15,65.35,61.37,53.27,64.338
239.97,11.15,24.52,68.97,67.29,62.55,65.19,44.45,66.594
239.94,16.00,10.18,61.75,60.46,63.16,65.97,55.79,63.462
239.89,16.52,18.00,63.27,56.2,61.85,74.2,62.44,67.192
239.7,17.33,16.06,66.99,66.08,50.93,60.11,62.88,64.61
239.66,9.40,12.43,64,59.25,71.68,63.82,67.77,67.79
239.64,8.51,22.94,56.95,79.89,64.4,58.73,62.33,69.048
239.36,10.61,20.38,58.67,72.17,63.57,62,51.79,65.716
239.35,19.14,18.96,66.49,64.44,69.66,56.36,75.32,70.246
239.3,12.17,9.97,65,60.08,70.05,68.29,61.32,66.942
239.29,7.00,7.02,65.15,64.29,70.39,63.37,64.89,67.022
239.24,11.63,10.97,66.93,58.94,57.61,65.45,68.58,65.696
238.99,25.25,12.05,57.24,57.97,68.99,69.29,57.84,64.676
238.97,12.95,15.74,62.53,56.3,59.12,54.1,69.84,63.526
238.93,19.90,13.03,74.28,67.82,70.12,63.7,61.25,70.04
238.92,12.57,11.72,63.36,54.84,65.09,53.37,58.67,61.41
238.91,4.13,9.06,57.16,63.7,60.53,54.64,58.06,60.63
238.9,11.12,17.78,58.64,65.22,63.89,47.44,58.86,62.366
238.79,21.36,4.75,65.87,62.32,66.76,64.81,62.01,65.304
238.76,23.41,13.68,68.6,64.69,56.83,70.51,61.34,67.13
238.71,10.70,12.45,59.81,67.63,59.1,57.73,70.18,65.38
238.69,12.18,13.23,70.02,60.59,63.47,56.79,60.4,64.9
238.63,16.98,18.17,71.27,71.41,53.24,64.92,57.76,67.354
238.58,25.79,15.16,69.07,62.03,62.99,53.91,58.56,64.344
238.19,10.09,17.53,65.34,58.49,66.7,52.21,69.74,66.002
238.06,23.88,17.17,71.5,57.58,68.6,74.75,68.04,71.528
237.93,14.77,7.41,73.13,65.72,68.89,67.19,67.58,69.984
237.8,15.47,9.53,66,71.47,70.25,62.89,61.94,68.416
237.8,11.61,19.72,62.76,51.95,71.67,63.35,65.07,66.904
237.77,21.31,9.80,69.22,64.94,60.55,59.64,59.42,64.714
237.72,13.42,5.47,65.3,59.83,62.3,59.89,61.27,62.812
237.61,28.62,18.11,62.5,63.3,46.49,64.6,55.77,62.154
237.57,6.73,10.16,56.22,60.19,62.73,61.54,52.57,60.682
237.29,3.68,12.66,69.66,57,63.22,63.57,68.92,67.006
237.28,9.03,6.05,66.7,70.36,72.75,70.54,66.78,70.636
237.26,25.30,18.79,58.86,64.16,64.87,46.08,58.66,62.284
237.18,10.65,16.60,54.86,70.75,67.91,54.15,62.07,65.268
237.04,18.81,17.22,57.48,52.62,60.1,59.4,69.84,63.332
237.01,40.82,12.36,58.06,55.57,60.64,67.34,54.98,61.79
236.83,17.54,20.48,56.46,59.77,53.76,68.43,74.24,66.628
236.82,21.37,10.03,64.53,59.86,66.46,69.89,67.88,67.73
236.55,12.95,22.31,50.68,61,72.99,65.8,65.73,67.702
236.54,17.03,30.03,78.23,65.09,65.1,48.2,61.95,69.72
236.53,2.64,5.46,62.6,60.15,61.38,62.49,65.61,63.538
236.44,6.58,14.00,64.84,56.73,68.91,70.73,58.36,66.714
236.32,23.45,15.97,67.24,53.82,66.39,51.27,55.87,62.112
236.27,18.80,17.58,54.38,56.78,53.3,70.88,65.65,63.714
236.24,13.05,11.23,67.12,60.2,58.19,69.42,62.84,65.8
236.15,1.89,15.42,57.99,64.42,50.86,66.28,53.49,61.692
236.11,12.77,7.81,59.64,65,60.39,57.19,59.28,61.862
236.11,17.45,10.29,70.36,60.07,69.66,65.75,65.8,68.386
236.05,8.52,11.48,66.99,57.02,55.51,58.03,59.23,61.652
235.96,28.29,11.79,68.68,56.89,57.76,64.52,60.26,63.98
235.85,14.56,13.66,63.48,55.18,61.12,68.84,58.95,64.246
235.78,19.81,4.14,62.79,66.93,65.45,65.53,63.48,65.664
235.62,13.87,16.04,63.48,65.65,66.8,61.51,77.55,70.206
235.58,14.79,11.80,68.42,63.06,61.8,59.42,56.62,64.224
235.46,9.40,13.42,62.19,64.6,66.91,61.54,53.49,64.43
235.35,16.39,19.91,48.08,61.15,61.85,67.07,67.99,65.21
235.29,20.85,13.50,62.76,57.7,54.11,67.61,58.13,62.762
235.17,17.04,15.37,75.91,68.49,60.54,71.75,61.37,70.686
234.94,5.42,22.13,70.11,62.43,74.54,63.22,52.41,68.968
234.93,19.81,11.86,65.9,56.98,68.84,65.01,62.32,66.182
234.89,17.10,9.21,65.87,56.66,63.49,59.67,60.85,63.15
234.81,17.19,4.05,61.21,64.75,65.26,61.34,65.18,64.358
234.79,21.74,7.93,65.42,60.2,58.19,57.49,60.71,61.988
234.79,4.29,10.54,56.46,67,64.29,66.33,62.53,65.43
234.7,21.78,7.01,60.36,57.71,63.07,56.06,56.48,60.138
234.61,21.42,15.19,73.5,74.5,67.04,59.31,66.38,71.184
234.58,25.54,15.39,62.92,62.01,69.47,57.34,72.73,67.972
234.57,21.50,20.27,65.42,60.2,61.95,57.09,77.36,68.458
234.57,6.19,8.57,57.99,64.25,66.56,61.41,63.95,64.546
234.5,17.43,15.68,64.44,55.37,62.18,48.76,64.23,62.132
234.46,46.68,9.43,53.92,62.88,61.82,59.91,53.45,60.282
234.4,24.12,12.94,59.8,60.5,69.9,68.4,72.74,68.856
234.31,14.71,6.36,57.47,63.83,63.75,57.96,59.52,61.778
234.3,22.32,9.86,69.66,64.3,60.23,61.82,59.8,65.134
234.16,20.74,7.89,65.87,69.07,67.16,61.18,64.46,67.126
234.14,4.98,18.93,65.82,72.36,61.73,53.43,71.16,68.686
234.14,15.88,10.53,60.96,64.7,69.39,58.86,63.37,65.562
234.11,19.51,10.13,66.63,68.6,66.91,58.47,68.1,67.768
234.04,18.37,27.70,63.03,74.57,46.87,65.15,59.07,67.278
233.93,19.07,6.60,62.84,66.28,69.34,68.76,69.44,68.652
233.91,9.49,7.95,62.04,64.64,56.69,58.03,62.69,62.408
233.85,10.28,11.06,59.19,54.04,56.88,65.1,62.93,61.84
233.84,20.52,15.28,72.36,65.71,62.09,57.08,63.38,67.18
233.82,19.28,12.89,55.38,57.8,53.72,66.61,60.32,61.344
233.7,1.63,8.81,61.73,62.32,55.62,59.96,64.43,62.574
233.66,7.07,12.96,60.64,56.44,54.48,57.16,67.44,61.824
233.64,16.58,20.22,58.15,47.2,66.76,67.42,60.26,64.002
233.58,43.20,5.33,69.95,65.49,65.18,70.51,66.29,68.55
233.54,23.88,9.93,62.05,68.79,67.33,58.86,65.4,66.472
233.39,18.97,22.98,61.88,78.44,55.89,55.46,56.86,66.302
233.36,22.75,15.35,74.14,65.06,58.79,59.87,66.12,67.866
233.28,14.33,11.82,69.14,75.39,66.63,63.57,65.82,70.474
233.01,25.71,6.56,58.26,56.25,62.25,58.75,62.81,60.976
232.9,20.82,13.94,55.56,61.43,69.5,67.57,60.87,65.774
232.77,5.91,16.05,67.93,55.33,71.38,57.81,59.3,65.56
232.73,24.13,16.18,62.41,66.47,69.97,66.85,53.79,67.134
232.73,6.65,11.29,69.48,68.16,58.19,62.46,64.76,66.868
232.72,12.00,12.23,67.86,68.08,65.71,71.56,59.33,68.954
232.63,4.95,3.88,64.76,61.98,60.88,63.26,62.13,63.378
232.51,6.74,10.30,66.84,66.59,58.18,68.48,64.6,66.998
232.46,15.10,11.06,70.11,61.88,59.05,62.83,63.14,65.614
232.41,21.75,10.28,59.54,56.58,55.96,58.73,66.24,61.466
232.38,30.59,11.95,58.5,61.06,67.28,59.35,55.33,62.694
232.29,23.75,7.93,54.9,58.94,62.83,60.1,61.18,61.176
232.19,11.71,16.27,54.15,70.11,56.2,67.03,53.84,63.52
232.18,11.52,20.62,63.35,76.13,69.72,68.7,55.51,70.806
232.15,3.00,9.86,53.77,55.37,62.03,61.53,63.63,61.238
232.13,25.62,18.81,65.5,46.69,64.95,55.89,61.44,62.656
232.07,8.23,8.83,60.48,54.54,57.07,63.37,60.59,60.976
232.06,11.01,6.53,65.61,72.14,72.07,68.19,68.37,70.582
231.99,22.41,15.70,53.25,68.95,60.81,61.42,63.83,64.792
231.94,10.55,17.72,56.46,71.05,64.29,65.01,53.33,65.572
231.88,12.78,6.72,61.5,65.59,67.1,60.38,60.49,64.356
231.86,26.80,9.78,58.81,67.23,64.11,57.45,60.18,63.512
231.69,21.09,10.48,64.7,60.35,54.22,62.05,63.37,63.034
231.6,15.28,13.91,69.8,75.42,71.96,61.51,71.29,72.778
231.57,23.41,13.05,53.86,66.91,59.71,56.66,59.33,61.904
231.47,8.15,11.44,66.47,58.9,55.03,59.4,62.42,62.732
231.46,13.28,2.75,60.07,61.67,62.82,61.7,61.37,62.076
231.45,19.37,21.27,54.03,51.51,67.39,70.18,48.91,62.658
231.41,6.44,11.40,61.75,55.9,67.3,61.95,58.62,63.384
231.38,13.38,16.51,53.16,69.67,55.03,55.19,67.35,63.382
231.3,10.84,13.46,69.07,68.29,72.01,58.55,58.65,68.006
231.28,8.47,6.05,60.89,59.6,61.96,64.5,65.65,63.73
231.25,26.87,2.79,60.62,58.09,60.1,59.69,60.88,60.434
231.22,11.82,18.35,66.47,48.12,62,58,58.98,62.384
231.22,23.72,13.41,56.96,61.52,70.37,62.27,64.33,65.772
231.14,17.69,9.06,64.32,58.4,61.08,55.26,63.19,62.262
231.01,1.20,10.83,63.9,53.07,54.93,59.96,63.75,61.288
230.92,21.78,11.04,53.53,64.57,62.7,54.28,57.49,60.722
230.91,3.60,9.74,59.68,54.52,64.26,60.24,62.28,62.144
230.84,16.95,13.51,71.96,68.85,68.03,58.45,66.15,69.39
230.71,12.75,10.09,63.07,71.66,63.14,61.57,63.5,66.606
230.68,19.62,12.43,57.99,61.86,57.41,52.12,64.55,61.272
230.63,23.26,12.62,57.66,61.2,61.57,65.15,70.28,65.696
230.54,11.59,18.39,51.78,56.02,66.34,58.23,70.17,64.186
230.53,21.90,8.78,69.07,61.38,65.71,61.58,60.29,65.362
230.5,12.27,12.06,58.4,66.79,70.46,68.67,62.93,67.862
230.5,25.27,11.22,65.23,60.44,57.04,54.01,54.4,60.468
230.41,9.33,15.58,71.53,66.53,61.07,63.7,55.95,66.872
230.41,13.42,6.58,56.59,62.04,61.11,62.73,63.17,62.444
230.4,2.12,17.05,59.3,60.07,73.41,56.36,64.85,66.208
230.4,17.52,16.00,73.69,71.98,60.02,57.69,61.75,68.226
230.35,13.24,8.05,66.28,64.12,59.42,58.23,61.56,63.532
230.31,13.97,11.40,58.2,58.85,65.8,67.66,69.6,66.302
230.2,6.43,10.33,72.3,68.6,63.18,61.97,65.12,68.3
230.13,13.25,30.06,63.7,66.6,79.31,93.76,71.11,80.908
230.08,25.53,18.61,76.38,72.72,57.77,67.22,67.75,72.09
230.07,22.96,7.88,55.51,56.07,62.04,62.42,63.39,61.462
230.06,19.35,8.97,57.53,66.5,59.76,62.18,63.75,63.738
229.96,14.02,8.11,64.37,66.46,69.8,61.69,69.43,67.972
229.96,10.46,11.93,55.92,63.86,62.4,67.85,58.53,64.098
229.96,8.38,5.76,61.08,55.78,61.54,58.53,56.17,59.772
229.93,14.41,14.27,58.86,62.32,64.24,64.04,73.13,67.372
229.82,8.03,14.34,66.13,51.79,65.56,60.22,59.63,63.534
229.81,15.20,14.36,64.19,69.76,55.4,60.12,61.08,64.982
229.76,4.00,20.71,64.78,57.13,70.9,68.76,77.84,72.024
229.64,23.19,14.52,61.26,70.12,70.1,55.6,63.88,67.096
229.55,16.33,7.98,67.89,63.8,63.07,71.05,69.46,68.65
229.5,19.11,10.29,57.35,57.73,62.82,52.53,62.18,60.58
229.48,10.96,13.81,53.86,67.67,66.17,59.98,67.23,65.744
229.48,8.89,15.74,66.7,75.87,68.17,68.98,60.13,71.118
229.48,23.28,12.37,67.33,68.83,65.84,56.46,68.42,67.85
229.44,10.83,15.52,54.09,52.68,59.33,68.2,65.08,62.98
229.38,14.81,5.65,62.76,63.06,57.7,63.35,59.95,62.494
229.38,14.01,9.06,61.14,60.9,59.7,63.27,68.76,64.566
229.38,16.05,16.39,69.79,53.4,58.06,63.65,68.5,65.958
229.28,10.51,11.67,67.23,76.62,73.98,64.95,71.79,73.248
229.22,12.91,13.95,56.82,56.92,61.25,68.19,54.24,62.274
229.09,28.49,19.74,48.86,65.5,68.6,64.39,62.04,65.826
228.96,4.64,6.53,58.85,57.76,64.29,60.38,62.53,62.068
228.94,11.11,9.45,61.74,57.58,59.81,56.86,66.31,62.35
228.94,13.49,9.91,65.88,57.67,59.51,62.61,55.97,62.31
228.88,12.81,11.18,63.38,64.12,64.8,72.74,61.56,67.556
228.81,6.06,12.96,70.88,60.1,65.8,61.54,57.92,65.84
228.77,4.20,17.21,56.69,67.93,50.72,67.56,64.63,64.948
228.73,14.17,12.91,58.74,59.26,53.9,64.24,66.81,63.172
228.72,13.22,17.43,56.19,66.73,69.8,73.62,60.39,68.832
228.72,4.71,16.35,67.56,57.54,67.24,51.21,67.4,65.46
228.56,17.66,9.21,63.91,57.82,55.98,63.42,65.19,63.106
228.55,19.61,13.01,64.35,65.11,65.46,61.03,52.45,64.282
228.51,2.13,17.36,58.59,72.28,61.5,54.92,60.72,65.074
228.51,20.55,11.96,68.76,60.7,71.54,71.38,59.58,68.784
228.5,13.34,14.06,58.86,70.62,63.64,62.75,56.56,65.298
228.49,28.68,11.32,56.32,54.66,63.57,65.98,61.34,62.638
228.43,9.77,13.11,60.96,59.9,58.19,68.3,71.3,66.352
228.33,7.67,7.97,64.63,57.98,56.66,57.54,64.21,61.798
228.28,3.75,9.35,56.85,56.18,58.88,55.47,64.82,60.31
228.26,16.27,16.42,73.87,62.99,64.72,57.45,69.79,69.048
228.19,15.74,18.17,62.91,69.8,71.96,61.93,53.79,67.712
228.18,20.26,20.03,70.11,66.52,60.75,63.22,50.08,66.142
228.11,2.18,4.85,58.59,59.11,60.68,59.27,55.83,59.666
228.07,7.55,17.71,66.64,58.22,56.62,62.06,74.33,67.116
228.06,11.87,15.02,64.79,58.27,62.26,65.01,49.99,63.068
228.03,12.51,13.54,54.65,64.85,68.19,68.04,56.72,65.198
228,6.14,11.84,58.91,59.91,53.04,64.88,57.28,61.172
227.99,12.39,11.69,54.54,61.85,66.23,60.11,58.54,62.592
227.98,17.44,16.34,57.17,66.77,62.55,54.52,70.86,65.642
227.96,13.52,18.69,66.86,60.66,67,64.86,48.31,65.276
227.75,12.60,8.06,59.55,66.46,64.61,60.36,67.61,65.33
227.71,6.14,16.06,58.86,59.55,65.45,49.39,58.05,61.472
227.7,17.13,11.18,58.85,65.82,54.64,58.22,63.75,62.492
227.67,6.58,12.89,62.97,62.43,62.92,57.69,50.08,61.796
227.67,11.50,23.06,50.95,74.01,61.78,60.35,56.75,65.38
227.59,9.06,10.65,60.26,59.34,56.63,53.05,63.7,60.726
227.51,9.77,14.55,55.77,70.32,63.54,67.24,57.91,65.866
227.46,24.03,26.55,46.18,66.14,65.62,72.73,65.62,68.568
227.37,18.87,20.98,62.36,50.15,56.64,59.24,71.13,64.1
227.36,28.74,9.43,57.57,58.27,62.26,67,63.72,63.65
227.24,13.65,13.83,70.22,61.84,57.49,71.32,71.3,69.2
227.14,19.57,11.75,63.1,54.93,53.06,60.4,64.81,61.61
227.09,9.08,9.94,61.54,59.7,69.64,67.25,67.45,67.104
227.07,4.55,5.50,64.95,59.45,60.21,61.06,64.85,63.204
227.02,8.81,9.36,63.12,59.83,64.35,54.99,63.94,63.118
227.01,5.17,8.24,71.62,63.38,69.94,68.19,67.68,69.81
227.01,23.16,19.75,74.2,54.45,63.32,66.83,62.99,68.308
226.98,18.55,16.42,60.58,67.31,50.89,59.02,59.47,62.738
226.89,16.65,21.85,49.39,59.06,58.37,71.24,67.01,65.384
226.69,26.09,11.39,63.98,66.79,71.13,59.74,61.1,66.826
226.68,5.67,12.91,57.4,69.28,63.8,56.37,58.68,63.688
226.63,4.10,20.55,44.49,62.94,61.42,61.7,65.04,63.228
226.63,15.29,11.39,56.7,63.56,56.49,67.47,67.88,64.698
226.58,15.25,8.03,60.38,61.08,62.25,54.22,57.97,60.786
226.58,26.45,11.39,56.45,55.31,66.7,56.79,59.84,61.296
226.55,2.04,9.79,67.58,66.5,60.28,63.74,57.79,65.136
226.53,16.83,12.38,58.37,58.9,63.69,52.69,65.07,62.22
226.33,11.85,13.00,70.45,67.73,64.47,57.45,57.81,66.182
226.27,5.86,13.74,67.93,64.63,56.66,70.4,64.21,67.514
226.27,4.72,10.30,63.03,57.97,63.6,66.9,56.6,63.68
226.26,1.11,16.25,68.46,67.94,55.4,66.51,52.21,65.354
226.2,15.41,9.87,64.7,57.01,65.22,55.35,64.04,63.238
226.05,18.77,15.87,56.46,56.42,72.29,62.01,60.86,64.782
225.94,20.84,14.65,61.1,52.5,62.05,63.9,67.15,64.27
225.94,11.50,12.48,69.07,58.96,59.9,71.44,71.15,68.6
225.94,13.60,11.31,63.43,64.18,61.94,58.33,52.87,62.412
225.9,18.35,5.23,64.53,62.85,63.82,59.3,59.47,63.04
225.85,17.20,14.22,66.46,52.24,58.3,57.19,57.99,61.28
225.81,15.72,14.60,64.25,70.91,59.64,71.56,56.96,67.584
225.75,11.81,11.28,69.33,65.69,58.94,63.15,70.22,67.722
225.7,22.50,15.43,62.56,57.81,66.1,53.89,69.32,65.022
225.69,14.47,18.53,68.99,50.86,58.96,69.39,67.26,66.798
225.6,17.60,15.83,52.68,61.88,59.64,64.98,68.51,64.704
225.51,6.22,7.99,61.55,69.54,67.31,68.76,61.88,67.406
225.48,9.65,14.86,57.6,59.44,51.49,66.3,66.35,63.208
225.42,9.50,4.45,65.75,68.87,65.65,70.1,65.82,68.128
225.4,13.09,11.80,72.8,61,66.09,64.61,68.04,68.868
225.25,21.93,32.64,54.38,50.85,59.67,83.49,60.04,68.214
225.19,20.65,17.22,67.24,57.63,50.02,58.65,58.44,61.84
225.16,23.98,12.97,60.75,61.96,66.58,63.27,53.61,63.828
225.15,14.68,6.73,61.19,56.31,59.02,60.07,54.46,59.556
225.13,18.01,13.18,70.37,57.19,61.62,66.2,67.29,67.17
225.1,8.38,12.15,70.05,64.92,66.72,57.9,64.98,67.344
225.1,9.85,9.94,60.9,70.84,70.02,68.76,70.28,70.148
225.07,1.97,12.17,66.94,58.24,58.23,70.4,62.61,65.718
